,0
0,https://web.archive.org/web/20220630191908/https://www.centerpartiet.se/var-politik/politik-a-o/jamstalldhet-och-diskriminering/abort
1,https://web.archive.org/web/20220630191947/https://www.centerpartiet.se/var-politik/politik-a-o/vard-och-omsorg/abort
2,https://web.archive.org/web/20220630192037/https://www.centerpartiet.se/var-politik/politik-a-o/familjen/adoption
3,https://web.archive.org/web/20220630192743/https://www.centerpartiet.se/var-politik/politik-a-o/vard-och-omsorg/alkoholpolitik
4,https://web.archive.org/web/20220630192808/https://www.centerpartiet.se/var-politik/politik-a-o/vard-och-omsorg/anhoriga
5,https://web.archive.org/web/20220630192828/https://www.centerpartiet.se/var-politik/politik-a-o/migration-och-integration/anhoriginvandring
6,https://web.archive.org/web/20220630192850/https://www.centerpartiet.se/var-politik/politik-a-o/mat/antibiotika
7,https://web.archive.org/web/20220630192908/https://www.centerpartiet.se/var-politik/politik-a-o/vard-och-omsorg/apotek
8,https://web.archive.org/web/20220630192935/https://www.centerpartiet.se/var-politik/politik-a-o/jobb/arbetsformedlingen
9,https://web.archive.org/web/20220630192953/https://www.centerpartiet.se/var-politik/politik-a-o/migration-och-integration/arbetskraftinvandring
10,https://web.archive.org/web/20220630193014/https://www.centerpartiet.se/var-politik/politik-a-o/jobb/arbetsmiljo
11,https://web.archive.org/web/20220630193034/https://www.centerpartiet.se/var-politik/politik-a-o/jobb/arbetsratt-och-fackforening
12,https://web.archive.org/web/20220630193054/https://www.centerpartiet.se/var-politik/politik-a-o/digitalisering/artificiell-intelligens-ai
13,https://web.archive.org/web/20220630193120/https://www.centerpartiet.se/var-politik/politik-a-o/familjen/barnbidrag
14,https://web.archive.org/web/20220630193145/https://www.centerpartiet.se/var-politik/politik-a-o/familjen/barn-som-far-illa
15,https://web.archive.org/web/20220630193205/https://www.centerpartiet.se/var-politik/politik-a-o/infrastruktur-och-trafik/bil
16,https://web.archive.org/web/20220630193225/https://www.centerpartiet.se/var-politik/politik-a-o/energi/bioenergi
17,https://web.archive.org/web/20220630193245/https://www.centerpartiet.se/var-politik/politik-a-o/miljo/biologisk-mangfald
18,https://web.archive.org/web/20220630193312/https://www.centerpartiet.se/var-politik/politik-a-o/utrikes--och-bistandsfragor/bistand
19,https://web.archive.org/web/20220630193332/https://www.centerpartiet.se/var-politik/politik-a-o/bostad
20,https://web.archive.org/web/20220630193352/https://www.centerpartiet.se/var-politik/politik-a-o/bostad/bostadsbyggande
21,https://web.archive.org/web/20220630193415/https://www.centerpartiet.se/var-politik/politik-a-o/bostad/bostadsskatter
22,https://web.archive.org/web/20220630193439/https://www.centerpartiet.se/var-politik/politik-a-o/bostad/bostader-i-hela-landet
23,https://web.archive.org/web/20220630193458/https://www.centerpartiet.se/var-politik/politik-a-o/lag-och-ratt/brottsforebyggande
24,https://web.archive.org/web/20220630193520/https://www.centerpartiet.se/var-politik/politik-a-o/miljo/cirkular-ekonomi
25,https://web.archive.org/web/20220630193537/https://www.centerpartiet.se/var-politik/politik-a-o/digitalisering/cybersakerhet
26,https://web.archive.org/web/20220630193605/https://www.centerpartiet.se/var-politik/politik-a-o/infrastruktur-och-trafik/cykel
27,https://web.archive.org/web/20220630193629/https://www.centerpartiet.se/var-politik/politik-a-o/ekonomi-och-skatter/regionala-skattebaser
28,https://web.archive.org/web/20220630193649/https://www.centerpartiet.se/var-politik/politik-a-o/lag-och-ratt/demokrati
29,https://web.archive.org/web/20220630193709/https://www.centerpartiet.se/var-politik/politik-a-o/demokrati
30,https://web.archive.org/web/20220630193729/https://www.centerpartiet.se/var-politik/politik-a-o/ekonomi-och-skatter/det-personliga-agandet-i-foretag
31,https://web.archive.org/web/20220630193749/https://www.centerpartiet.se/var-politik/politik-a-o/digitalisering
32,https://web.archive.org/web/20220630193814/https://www.centerpartiet.se/var-politik/politik-a-o/digitalisering/digitalisering-i-skolan
33,https://web.archive.org/web/20220630193844/https://www.centerpartiet.se/var-politik/politik-a-o/digitalisering/digital-utbildnings--och-arbetsmarknad
34,https://web.archive.org/web/20220630193911/https://www.centerpartiet.se/var-politik/politik-a-o/digitalisering/digital-valfard
35,https://web.archive.org/web/20220630194659/https://www.centerpartiet.se/var-politik/politik-a-o/jordbruk-jakt-och-fiske/djurskydd-och-djurhalsa-internationellt
36,https://web.archive.org/web/20220630194718/https://www.centerpartiet.se/var-politik/politik-a-o/jordbruk-jakt-och-fiske/djurskydd-och-djurhalsa-i-sverige
37,https://web.archive.org/web/20220630194738/https://www.centerpartiet.se/var-politik/politik-a-o/mat/djurvalfard
38,https://web.archive.org/web/20220630194758/https://www.centerpartiet.se/var-politik/politik-a-o/infrastruktur-och-trafik/dubbdack
39,https://web.archive.org/web/20220630194823/https://www.centerpartiet.se/var-politik/politik-a-o/vard-och-omsorg/dodshjalp
40,https://web.archive.org/web/20220630194844/https://www.centerpartiet.se/var-politik/politik-a-o/ekonomi-och-skatter
41,https://web.archive.org/web/20220630194905/https://www.centerpartiet.se/var-politik/politik-a-o/ekonomi-och-skatter/ekonomisk-politik
42,https://web.archive.org/web/20220630194923/https://www.centerpartiet.se/var-politik/politik-a-o/trygghetssystem/ekonomiskt-bistand
43,https://web.archive.org/web/20220630194946/https://www.centerpartiet.se/var-politik/politik-a-o/utbildning/elevhalsa-och-mobbning
44,https://web.archive.org/web/20220630195011/https://www.centerpartiet.se/var-politik/politik-a-o/energi/elnat
